mod_id,mod_description,mod_type,regulations,loi,aircraft_type
MOD0826,Modification of flap control hydraulic lines featuring predictive maintenance capability,Systems,"CS 25.1309, AMC 25-12",Low,CRJ900
MOD0827,Modification of flap control hydraulic lines including environmental control improvements,Systems,"AMC 25-12, AMC 20-130",High,A340
MOD0828,Upgrade of nose gear actuator for extended operational range,Systems,"AMC 25-12, AMC 20-130",Medium,A340
MOD0831,Modification of flap control hydraulic lines with energy-efficient components,Systems,"CS 25.965, CS 25.1309",Medium,A321
MOD0833,Modification of flap control hydraulic lines for extended operational range,Systems,"CS 25.1309, CS 25.965, AMC 25-12",High,A321
MOD0901,Installation of new engine vibration monitoring system,Propulsion,"CS 25.903, AMC 20-149",Medium,A321
MOD0902,Modification of nacelle fairing design,Propulsion,"CS 25.933, CS 25.901",Low,A320
MOD0903,Replacement of engine mount bolts,Propulsion,"CS 25.933, CS 25.901",Low,A321
MOD0904,Modification of nacelle fairing design for improved fuel efficiency,Propulsion,"CS 25.901, CS 25.965",Medium,B737
MOD0905,Installation of new engine vibration monitoring system for improved fuel efficiency,Propulsion,"CS 25.901, CS 25.965",High,A350
MOD0906,Replacement of engine mount bolts for improved fuel efficiency,Propulsion,"CS 25.933, CS 25.901",Medium,CRJ700
MOD0907,Replacement of engine mount bolts with enhanced thrust-to-weight ratio,Propulsion,"CS 25.901, CS 25.903",Low,B787
MOD0908,Modification of nacelle fairing design with enhanced thrust-to-weight ratio,Propulsion,"CS 25.901, CS 25.965",High,A340
MOD0909,Installation of new engine vibration monitoring system with enhanced thrust-to-weight ratio,Propulsion,"CS 25.901, CS 25.965",High,A330
MOD0910,Installation of new engine vibration monitoring system including vibration reduction measures,Propulsion,"CS 25.901, CS 25.965",Medium,A350
MOD0911,Installation of new engine vibration monitoring system for extended engine life,Propulsion,"CS 25.933, CS 25.901",Low,B737
MOD0912,Modification of nacelle fairing design including vibration reduction measures,Propulsion,"CS 25.901, CS 25.903",Low,A330
MOD0913,Modification of nacelle fairing design for extended engine life,Propulsion,"CS 25.901, CS 25.965",High,B747
MOD0914,Replacement of engine mount bolts including vibration reduction measures,Propulsion,"AMC 20-149, CS 25.901, CS 25.903",High,A350
MOD0915,Modification of nacelle fairing design with advanced materials and coatings,Propulsion,"CS 25.901, CS 25.965",Medium,B737
MOD0916,Replacement of engine mount bolts for extended engine life,Propulsion,"CS 25.933, CS 25.901",Medium,A350
MOD0917,Modification of nacelle fairing design including noise reduction features,Propulsion,"AMC 20-149, CS 25.901, CS 25.903",High,A330
MOD0918,Replacement of engine mount bolts with advanced materials and coatings,Propulsion,"CS 25.901, CS 25.965",High,E170
MOD0919,Modification of nacelle fairing design for improved operational flexibility,Propulsion,"CS 25.901, CS 25.965",High,B777
MOD0920,Installation of new engine vibration monitoring system with advanced materials and coatings,Propulsion,"CS 25.901, CS 25.965",High,A321
MOD0923,Modification of nacelle fairing design with enhanced maintenance intervals,Propulsion,"CS 25.901, CS 25.903",Low,CRJ700
MOD0925,Replacement of engine mount bolts including noise reduction features,Propulsion,"CS 25.901, CS 25.965",Medium,A350
MOD0931,Replacement of engine mount bolts for improved operational flexibility,Propulsion,"CS 25.901, CS 25.903",Low,A321
MOD0934,Replacement of engine mount bolts with enhanced maintenance intervals,Propulsion,"CS 25.901, CS 25.903",Low,B737
